,Nombre de usuario,Usuario,Fecha,Texto,Sentimiento
709,MaitriAshem #PorUnPlanetaDignoYDiverso,@AshemMaitri,2021-01-03,"...voy a ser bien clarito: 

LA VACUNA ESTÁ DEJANDO LA ZORRA EN ARGENTINA Y NADIE DICE NADA...se están quedando sin personal sanitario...Grave situación. 

#Plandemia #Circovid #YoNoMeVacuno",0
710,Francisco Quintana.,@Francis113650,2021-01-02,"#NoAlBozal #YoNoMeVacuno #Trump y #Bolsonaro, dos adversarios del #NOM.#NadaSobra",0
711,Rolod,@Rolod14,2021-01-02,"Quedo con unos amigos. La novia de uno es enfermera. 

Me dice que ella no se va a vacunar, y le digo que entonces salga y diga a la gente que NO SE VACUNE.

Pero ella no lo hace por miedo al despido. 

Sanitarios, dejad de CALLAR y ACTUAD YA.

O SERÉIS CÓMPLICES.

#YoNoMeVacuno",0
712,Cecy Ruiz W,@cecyruizw,2021-01-02,"Dolor Articular, Cefalea, Fiebre, Decaimiento, Reacciónes Alergias, Poliuria, Dolor Retro ocular etc. Estos son los síntomas de 8 enfermeros de Tucumán después de la vacuna. Me lo compartió una enfermera cuyo colega le contó. #YoNoMeVacuno #SputnikV",0
713,Hank Kimball,@Hank_Kimball_,2021-01-02,"O me la ponen Soros, Miguel Bosé o Bill Gates o #YoNoMeVacuno",0
714,ni©,@nicOdermia,2021-01-02,"Egoista es contribuir a un presente y un futuro en el que el otro es, ante todo, una potencial amenaza.

#YoNoMeVacuno #COVID19 #Pfizer Sputnik #Infectadura",0
715,ni©,@nicOdermia,2021-01-02,"Egoista es sostener y promover un presente y un futuro sombríos para las generaciones venideras, donde la regla es no tocarse, verse o compartir sonrisas en público. Usando máscara irremediablemente sos cómplice.

#YoNoMeVacuno #COVID19 #Pfizer Sputnik #Infectadura",0
716,Lord Vader,@mantisreligioso,2021-01-02,NO VACUNARSE. #YoNoMeVacuno,0
717,Ed_ortega,@Edorteg08074418,2021-01-02,"Pregunto: sabiendo que las vacunas tienen infinidad de efectos adversos, ¿quién en su sano juicio se vacunaría? #YoNoMeVacuno",0
718,@LordDarthVader,@LordDarthVader,2021-01-02,NO VACUNARSE. #YoNoMeVacuno,0
719,LetradaCabreada,@LetradaCabreada,2021-01-02,"Una de las peores consecuencias de la Plandemia es el deterioro de la salud mental y afectiva de las personas por falta de contacto social, sucidios, soledad no elegida, miedo, trastornos cognitivos.
#NoAlBozal
#Libertad
#NoalNOM
#YoNoMeVacuno",0
720,Paola Rodriguez Emmert,@EmmertPaola,2021-01-02,"Somos grandes y libres , cada cuál sabe como cuidarse.  No podemos permitir que un rebrote fantasma que está llegando nos haga encerrar nuevamente.  A investigar, llamar al debate, apoyar a los que están del lado del pueblo.  
#YoNoMeEncierro 
#YoNoMeVacuno",0
721,Omar Sarmiento,@_omarsarmiento_,2021-01-02,"Muchas personas presentan reacciones adversas muy peligrosas a la pseudo vacuna rusa. Aún cuando ese porcentaje sea bajo están poniendo en riesgo la vida de miles de personas. Otro fallido mas de este gobierno. 
#yonomevacuno #resistencia #elpeorpresidentedelahistoria",0
722,Alena Mar.,@achainmar,2021-01-01,El COVID-19 es un ataque de bandera falsa a través del cual el Nuevo Orden Mundial está utilizando un virus diseñado y la cobertura de los medios asociados para llevarnos a la atención médica socializada y las vacunas obligatorias. #noalnuevoordenmundial #Plandemia #YoNoMeVacuno,0
723,República,@esteban_ech,2021-01-01,Rebelión de vacunacion #Novacunarse tiene muchos efectos adversos hay muchos internados con sintomatologia de COVID_19. #YoNoMeVacuno,0
724,MAA,@MaaMaa1984,2021-01-01,"Somos la RESISTENCIA activa. Los que no nos vamos a dejar encerrar a causa del verso chino. La LIBERTAD peligra. Es ahora o nunca. 
#DesobedienciaCivil 
#NoAlToqueSanitario
#YoNoMeEncierro
#NoCierresTuNegocio
#YoNoMeVacuno
#CuarentenaLasPelotas
#FaseCeroLasPelotas
#NoUsesBozal",0
725,𝐈𝐯𝐢.,@Ivanaluvbanana,2021-01-01,"#YoNoMeVacuno Chingen su madre, ojalá y les de Covid y se müêrąn, nadie necesita a la gente ignorante como ustedes.",0
726,MÍRIAM M. RAMÍREZ | Extraterrestre,@miriammramz,2021-01-01,"#YoNoMeVacuno, sí, mejor, #JulianAssange , hombre de bien inocente, víctima de psicópatas",0
727,ANDRIUS_PDG,@Andrius_PDG,2021-01-01,#Feliz2021RTVE Feliz Año a todos los Españoles! #YoNoMeVacuno,0
728,Lord Vader,@mantisreligioso,2020-12-31,"Es patétiKKo el lamentable show de los políticos ""supuestamente vacunándose"". Son un asKKo. LOS POLÍTICOS SON NUESTROS ENEMIGOS. #YoNoMeVacuno",0
729,Cristian Masaru Emoto,@emoto_masaru,2020-12-31,¡¡ LO ÚNICO QUE VA MANTENER EL #NegocioCriminal ES EL TEST PCR !! YA ES INSOSTENIBLE TANTA MENTIRA Y BURLA AL INTELECTO. #YoNoMeVacuno #PLANDEMIA,0
730,Aleyx,@Iamaleyx,2020-12-31,"Los que se van a vacunar vayan y que los vacunen  de 4 pero NO ROMPAN LAS BOLAS A LOS QUE NO NOS VAMOS A VACUNAR! DONDE TERMINAN TUS DERECHOS EMPIEZAN LOS MIOS 
 #YoNoMeVacuno  #Plandemia  #covidiotas",0
731,LetradaCabreada,@LetradaCabreada,2020-12-31,"Lo único realmente significativo y especial de este año, además de estar viva y todo lo que agradezco, es la buena gente, especial y maravillosa con la que interatue por aquí, GRACIAS y feliz 2021.
#NoAlBozal
#Libertad
#NoalNOM
#YoNoMeVacuno",0
732,Sergi Vlad,@sergi_vlad,2020-12-31,"Respeto a todas aquellas personas que desean optar por: #YoMeVacuno.. yo no la comparto, porque primero debo de observar las consecuencias que la misma trae, en el transcurso de un tiempo prudente, y en segundo lugar por una cuestión de duda razonable en mi fe.
#YoNoMeVacuno",0
733,Susana,@susana_ti22,2020-12-31,"Hoy me han vuelto a increpar unos ""policías""(léase ciudadanos ejemplares ó chivatos de toda la vida"" de supermercado por llevar la mascarilla por debajo de la nariz, estoy al límite van 5 veces
#Plandemia
#YoNoMeVacuno 
#GobiernoDeLaMentira",0
734,Edmundo Sánchez Cruz,@CruzSnchz,2020-12-31,"#Ecuador #YoNoMeVACUNO
Probables trastornos de ADN humano a partir de los componentes RNAm que tienen las vacunas PFIZER y Moderna
Que se vacunen 
@lenin
 sus aliados banqueros y sus ministros: AL FIN y al CABO sus ADN's YA ESTAN TRASTORNADOS",0
735,Lord Vader,@mantisreligioso,2020-12-31,NO VACUNARSE. #YoNoMeVacuno,0
736,Campesino Wallmapu,@CWalmapu,2020-12-31,"UNA NUEVA CEPA DE MENTIRAS QUE SOLO MUTA CON LA PRENSA CORRUPTA.
#Circovid #NuevaCepaEnChile #YoNoMeVacuno #nuevacepa #Plandemia",0
737,paulosky,@pauuu_116,2020-12-31,#YoNoMeVacuno y esta mierda qué?,0
738,@LordDarthVader,@LordDarthVader,2020-12-31,NO VACUNARSE. #YoNoMeVacuno,0
739,Mxnv,@Mxnuc12,2020-12-31,"Reconozco entrar en las tendencias #NoAlAborto #YoNoMeVacuno ""Sánchez e Iglesias"",etc 
 simplemente por echarme unas risas",0
740,Karina,@Karina12189180,2020-12-31,"Y que va a pasar cuando se den cuenta que a sus seres queridos se los mataron en nombre de este genocidio llamado covid 19. Y que la segunda ola es la post vacunación
#YoNoMeVacuno",0
741,Catlady,@CatladyEye,2020-12-31,"Lo último q diré(creo)
Tranqui, los hospitales están hechos 
 así q si antes ""morían"" en casa, ahora ""morirán"" en el hospital. Las pobres no abortan, cobran AUH así que les garpamos el aborto a las capitalistas
Zurditos, lo hicieron de nuevo!
Ah y #YoNoMeVacuno (quería decirlo)",0
742,Zyanya Vies,@zaevidales,2020-12-31,"Pero plis, no sé vacunen de verdad. Mejor dejenselas a las personas que si queremos. #YoNoMeVacuno",0
743,Free Soul,@elrenegau3,2020-12-31,"A ver si algun alma caritativa se copa.. 
Me ayudan a llegar a los 1000 seguidores?

Todo suma

#YoNoMeVacuno 
#GobiernoDeInutiles",0
744,Agua y hielos,@Vulpes_Mr,2020-12-31,"#YoNoMeVacuno 
Ahhh se crean, seré pendejo.
Cuídense. La ciencia es friend.",0
745,Silvana Paradiso,@SilvanaParadiso,2020-12-31,"Carnet digital de vacunación
No será mucho?
#YoNoMeVacuno 
#QuienQuieraOirQueOiga",0
746,Alejandro,@AFlemingEs,2020-12-31,Qué pedo con los #YoNoMeVacuno y #NoAlAborto desayunan Pinol o qué vergas les pasa?,0
747,Marisa Sastre,@Sastre2Sastre,2020-12-30,"#YoNoMeVacuno

Muéranse pues ",0
748,Rolod,@Rolod14,2020-12-30,"Los del #YoNoMeVacuno sois unos irresponsables, está muriendo gente que no había muerto antes y vosotros ahí reuniéndoos más de 6 y sin mascarilla...

#YoMeVacuno porque aunque hayan tardado 4 meses en crear la vacuna, confío en la ciencia y no cuestiono a los medios de tv. ",0
749,THE BEST IN THE WORLD,@CarinaR57758309,2020-12-30,"Ya se aprobó la vacuna Oxford. 
Okey ya hay otra alternativa para elegir y se dejan de joder con el origen y la mar en coche. 
#YoNoMeVacuno",0
750,Ged,@CarlosUrda77,2020-12-30,Se va a vacunar su p... madre. #YoNoMeVacuno,0
751,El Renegado de Cyrodiil,@DirVillafana,2020-12-30,"Aparte de mierda, que tienen en la cabeza los que ponen #YoNoMeVacuno

Pueblo pendejo lleno de gente pendeja",0
752,"fuck living, shit's hard",@CesarBetoGomez,2020-12-30,Entrar a Twitter después de un par de semanas y ver que en México es tendencia lo del #YoNoMeVacuno ,0
753,_carmenjd,@_carmenjd,2020-12-30,¿qué lado ganará la selección natural? ¿los de #YoNoMeVacuno o los otros? volvemos después de la publicidad,0
754,Neska,@SiempreNeska,2020-12-30,"Llevando al juzgado, Fiscalia de oficio, la negativa de unos hijos a que vacunen a su padre incapacitado en la residencia. Pero qué mierda de imposición es ésta.. es opcional pero si no te vacunas te obligo! Idos a tomar por cvlo.. #YoNoMeVacuno",0
755,El Azote del NOM,@elazotedelnom,2020-12-30,El ejército custodia las vacunas no vaya a ser que alguien se haga con alguna y le dé por analizar lo que lleva en un laboratorio #YoNoMeVacuno,0
756,El Azote del NOM,@elazotedelnom,2020-12-30,Tener la gripe es de antiguos. Ahora lo que se lleva es el cobi. #Plandemia #YoNoMeVacuno,0
757,aldo ramirez,@hispanoadicto,2020-12-30,"Aquí se mostrará la Libertad de elección...vacunarse significa inyectarse el virus para generar defensas... y si tengo las defensas bajas, MUERO
#YoNoMeVacuno",0
758,Rincón Artesano,@ariesmarcos,2020-12-30,"Vergüenza escuchar a 
@sebastianpinera
 por #bonosalud doscientos mil pesos huevon cara de raja, a los uniformados un millón y no hacen nada y los de #salud que se jodan? #YoNoMeVacuno #piñeraasesino hdp",0
759,Inma,@Inma67332072,2020-12-30,"#YoNoMeVacuno Esto es un genocidio,crónica d una muerte anunciada,una esterilización en masa,la tercera guerra mundial y algunos me recuerdan a Hitler",0
760,María Laura Clancy,@MariaLauClancy,2020-12-30,"Ahora con total derecho pido que se me respete y no obligue a vacunarme contra el bicho POR NINGUNA VACUNA. #YoNoMeVacuno porque si para deshacerme de una vida que no es mi cuerpo pero me dan la decisión, vacunarme debe ser también #MiCuerpoMiDecision entonces.",0
761,LetradaCabreada,@LetradaCabreada,2020-12-30,"Por qué cojones estamos pagamos impuestos a esta narco-dictadura-sanitaria si la administración, los juzgados y sanidad no nos atienden? Cuando España se convirtió en una región de Somalia?
Por qué sólo quieren esclavos sin derechos? 
#NoAlBozal
#Libertad
#NoalNOM
#YoNoMeVacuno",0
762,draviasil,@BalesSilvia,2020-12-30,"Quiero una vacuna seria para mi país , no me rompan mas la paciencia con basura rusa. Merezco acceso a buena salud y no ser conejito de indias de los rusos. En el Htal donde trabajo se vacuna el 20% del personal de salud el resto se niega #YoNoMeVacuno",0
763,Timmy Otul,@Fulmetaljaquet,2020-12-30,"Quiero denunciar un plan masivo de exterminio dirigido a los adultos mayores de nuestro país, vacuna quebno se pueden aplicar y los ponen como prioritarios para que se la den, ley de jubilación que los deja mas en la miseria 
@edufeiok
 @babyaetchecopar
 @edserenellini
 #YoNoMeVacuno",0
764,L@Inconformista,L@Inconformista,2020-12-30,"Parece mentira como hay gente q quiere vacunarse contra el #Covid_19 a pesar d q la vacuna ha tardado menos de un año en fabricarse y igualmente van a tener que seguir llevando mascarilla y respetar las medidas de seguridad.
Totalmente ridículo.
#Plandemia #YoNoMeVacuno",0
765,Rolod,@Rolod14,2020-12-30,"Muchos médicos ahora son como los famosos que salen anunciando comida y productos perjudiciales para la salud que ellos mismos JAMÁS consumirían, pero que recomiendan a la población por cuatro perras.

Confiad en aquellos que no ganan NADA por contar la verdad.

#YoNoMeVacuno",0
766,Lord Vader,@mantisreligioso,2020-12-30,NO VACUNARSE #YoNoMeVacuno  #YoNoMeVacunoArt36CN,0
767,Armuño Ingobernable,@Armunho,2020-12-30,A Salvador Illa le inyectaron la vacuna de Pfizer y una semana después es candidato a la Generalitat #YoNOmeVacuno,0
768,"C,",@Contebar,2020-12-30,"Los de #YoNoMeVacuno, cuál es su plan?
Así, como curiosidad...",0
769,"¢нι¢σтє єѕραятαиσ
™",@ChicoteSpartan,2020-12-30,"A mí lo que me gustaría es que hicieran un seguimiento a esos yayos vacunados, a ver si siguen vivos pasado Reyes, porque el #GobiernoDeLaMuerte no os contará nada si ocurre lo contrario.

#YoNoMeVacuno",0
770,Gustavo Saint-Pierre #usamascarilla,@tavosaintp,2020-12-30,"Día 2 protocolo vacuna #AstraZeneca esta segunda dosis sin  fiebre, pero siento como que me hubieran agarrado a palos. Eso puede ser solo el fin de año 
 #YoNoMeVacuno #UsaMascarilla #distanciafisica",0
771,Cristian. Licenciatura económica.,@Cristia30975475,2020-12-30,#yonomevacuno Y usted no decidirá qué restricciones o repercusiones me acarreará. Acuerdo de Bioética de 2006. #reetweet o escríbalo en su cuenta.,0
772,eliud mcflurry,@eliudmcfly7,2020-12-30,"a q edad se enteraron que no es pedo q sí me gustan las patas??
#YoNoMeVacuno",0
773,Roly,@Roly75059339,2020-12-30,"#4DiaVacunaEsp me podéis explicar, si no saben cuanto dura la inmunidad en una persona, como van a saber los efectos secundarios???   #YoNoMeVacuno",0
774,Simp oficial de Malina Weissman,@1802Quique,2020-12-30,Como que #YoNoMeVacuno es trending topic? ._.,0
775,chukimantari,@chukimantari,2020-12-30,"Los subnormales del #YoNoMeVacuno
Deberían mirar a la cara a los familiares de los fallecidos.",0
776,Jesus Espinoza (Chrono Raziel),@ChronoRaziel,2020-12-30,"A todos esos que estan usando el #YoNoMeVacuno podrian ponerlo firmado y en un contrato o algo para que los que si queremos vivir nos vacunen primero? 

Que se salten rapido a los que les vale madres y ojala no mute el virus por su puta culpa",0
777,Masterlike,@Masterl16918040,2020-12-30,"Verdades Ofenden @verdadesofenden29 dic. 2020 4:31:13 3.9K
#YoNoMeVacuno

Los progres defendiendo el asesinato de un bebé con el lema “nuestro cuerpo nuestra decisión”

Pero la vacuna te la quieren imponer si o si. ¿Para esto mi cuerpo no es mi decisión?",0
778,Cristóbal GC #YoMeVacuno,@CrisGCaamanio,2020-12-30,"Ganas de llorar de impotencia con el escenario actual. Era necesario limitar el contacto con otras personas, y luego sale #EspacioBroadway. Llega la vacuna, pero salen los #YoNoMeVacuno. Y ahora resulta que una ENFERMERA trae el VOC202012/01 a Chile por andar vacacionando wn ",0
779,Diana,@dianigf,2020-12-30,El silencio de Asociaciones Médicas aturde. #SputnikV #YoNoMeVacuno,0
780,Lord Vader,@mantisreligioso,2020-12-30,NO VACUNARSE. #YoNoMeVacuno,0
781,@LordDarthVader,@LordDarthVader,2020-12-30,NO VACUNARSE. #YoNoMeVacuno,0
782,MilitameEsta,@MilitameE,2020-12-30,"Te organizan velorio masivo, proyectos de ley que generan movimiento excesivo de personas y te compran una sola vacuna floja de papeles. Les sobra épica y les falta ética. Cuídense y cuiden a los suyos. #YoNoMeVacuno",0
783,Karatecabaret1,@Karatecabaret1,2020-12-30,"#YoNoMeVacuno  porque no presentan DATOS , EVIDENCIA CIENTIFICA . muchachos ! Honestamente , esperen los datos viejo !Desde cuando se cuestiona a la ciencia y hay tantas dudas ?.EL.ANMAT Y EL.GOBIERNO DEBEN GARANTIZAR DATOSSSSS",0
784,Laura,@lauale5,2020-12-30,"Leuco está comentando que a los argentinos nos están usando como conejitos de India 
#YoNoMeVacuno",0
785,dime,@supermaricona,2020-12-29,"personalmente no pienso ponerme la vacuna todos sabemos que a los capricornio nos protege la luna de venus 
 #YoNoMeVacuno",0
786,ann,@vnntia,2020-12-29,"personalmente no pienso ponerme la vacuna todos sabemos que a los capricornio nos protege la luna de venus 
 #YoNoMeVacuno",0
787,Pelayoastur,@pelayoastur79,2020-12-29,"Para la #garrapatadegalapagar , la analfabeta funcional y todos los miembros de este #GobiernoDeLaMuerte que tengáis muy claro.
#YoNoMeVacuno",0
788,Teresa Ares,@TeresaAres2,2020-12-29,"Hoy, como personal sanitario, me he inscrito para vacunarme frente a la COVID-19. Gracias a la DG de Salud Pública de CyL y muchas gracias al Colegio de Farmacéuticos de Zamora por velar siempre por la salud de sus colegiados y la del personal de las farmacias. #YoNoMeVacuno.",0
789,"Pícara
Pa' Siempre",@cantoenlafrente,2020-12-29,"El desembarco de las vacunas, ha sido una puesta en escena descarada ,del peor cine de progre de los últimos tiempos de España....a otro hueso con ese perro #YoNoMeVacuno #LosExperimentosConGaseosa por la línea,recta se llega antes a la mierda!!cuantos € ha costado el teatro?",0
790,micablossom,@micablossom,2020-12-29,"Empezó la campaña de vacunación en Argentina. Se ha filtrado imágenes de que la misma tuvo problemas, básicamente que perdió la cadena de frío. Y aquí estamos, con nuestro personal de salud como rata de laboratorio.
#YoNoMeVacuno",0
791,Cris,@blueandwhite,2020-12-29,"los ciudadnos debemos expresarnos s/#VacunaRusa , no esperar que diga alguien lo q pensamos o sentimos
Yo no confío en una vacuna no aprobada x organismos internacionales creados a tal fin, sin información científica adecuada  Por lo tanto decido sobre mi salud  #YoNoMeVacuno",0
792,Gonzalo Castro #usomascarilla #chiledesperto Ⓖ,@gonzalocasstro,2020-12-29," que pasará en unos meses más ... cuando no tengamos iniciativas estatales para mantenernos 
.... #YoNoMeVacuno #yonomeencierro #earthquake #COVID19 #COVID20 #cv募集",0
793,Yo Soy,@Soy_Merlin,2020-12-29,"Mi libertad y mi libre albedrio me pertenece solo a mi
La fuente divina me coloco en este espacio-tiempo para vivir una experiencia corpórea y descubrir la luz que hay dentro de mi, conviviendo en armonía con todos y cada unos de los elementos que habitan el planeta #YoNoMeVacuno",0
794,ana marino,@anamari58237179,2020-12-29,#YoNoMeVacuno  entiendanlo,0
795,Liliana Castellano,@LilyCaste,2020-12-29,#YoNoMeVacuno vengan de a uno! ,0
796,Cristy -,@cristy_gal,2020-12-29,#EsUrgente Diputada Soher El Sukaria: “Empezaron a vacunar y no sabemos qué mierda tiene la vacuna” #YoNoMeVacuno  BASTA DE MENTIR!!!!!! CON LA SALUD DE LA GENTE NOOOOOOO!!!!,0
797,MrDo,@MrDo01A,2020-12-29,"SI LA VACUNA SPUTNIK-V NO ES APROBADA VAN TODOS PRESOS CALCULO NO?

Y EL JUICIO POLÍTICO A TODO EL GABINETE PARA QUE RENUNCIE SERIA UN HECHO NO?

#ArgentinaEsProvida 
#NoAlAborto 
#YoNoMeVacuno",0
798,Gutierrrrrrez,@Gutierrrrrrez,2020-12-29,"Toda una vida teorizando conspiraciones imperialistas delirantes y ahora felices poniendo el bracito para una vacuna que la aprobó un borracho que cría chanchos.

#YoNoMeVacuno 
#QueBoludosSonLosZurdos",0
799,@monitorrente,@monitorrente,2020-12-29,"Mentir, matar y robar es la clásica doctrina peronista 
 
#YoNoMeVacuno 
#NoAlRoboALosJubilados 
#GobiernoFailed",0
800,El gato que tuitea.,@Elgatoquetuitea,2020-12-29,"Juzgar a quien no elige vacunarse; es otra forma de separación social.
Cada quien su organismo.
#YoNoMeVacuno",0
801,"Maru
#DesobedienciaCivil",@maru_diego,2020-12-29,"Vacunen a toda la casta política, así bajamos el gasto y nos sacamos de encima a unos cuántos inútiles al mismo tiempo. #YoNoMeVacuno",0
802,chicas golden LYQTP,@KpaMartine,2020-12-29,Vos en el 2008 que hacias? Yo catequesis #YoNoMeVacuno,0
803,Týr,@PabloNievas1712,2020-12-29,"Si queres te vacuno con la de carne pero con la rusa ni en pedo
#YoNoMeVacuno 
#Quelavacunenatuhermana",0
804,#DesobedienciaCivilYa,@aquilesbailoy17,2020-12-29,"La hernia que se van a agarrar los kukas de tanto militar su fabulosa vacuna, chicos vayan y desenla diez veces sin guantes o como quieran  y no nos rompan las pelotas plis 
#YoNoMeVacuno",0
805,JOSS,@RockDJOk,2020-12-29,Humano si... Fenomeno no... #ArgentinaEsProvida #YoNoMeVacuno,0
806,Noemí Osso,@OsoNoemi,2020-12-29,"Juntaran 300.00 K para vacunarse?????
#YoNoMeVacuno",0
807,Diego Muscillo,@DiegoMuscillo,2020-12-29,"#YoNoMeVacuno increíble.... Es TT de los sin cerebro. Yo pensaba que los Zombies y Walkers eran ficción. Tranqui, no es obligatorio vacunarse.",0
808,MrDo,@MrDo00,2020-12-29,"EXCELENTE 
@SoherElSukaria
 : 

""NO SABEMOS QUE MIERDA NOS VAN A INOCULAR"" 

#YoNoMeVacuno 
#AbortarEsAsesinar",0
809,Verockas,@verockas,2020-12-29,Todo mentira... pan y circo! #YoNoMeVacuno,0
810,Paula,@pvdxd111,2020-12-29,"Los #yonomevacuno al menos ya se leyeron un artículo con evidencia científica de una revista confiable o su única fuente son las publicaciones de fb o las cadenas de wa ?
Solo pregunto.",0
811,ALACAMA,@alacama_cs,2020-12-29,"Gente poniendo con el #YoNoMeVacuno sin idea de la trayectoria de Pzifer, gente, son los creadores de la Viagra, y no veo a nadie desde que salió la Viagra poniendo en duda nada, así que por favor, vacunaros, y confiad en los laboratorios, que tienen experiencia",0
812,La Posta Sin Vueltas,@LapostaSnVuelta,2020-12-29,"Todos : aborto legal
Nadie: Negocios Millonarios con fetos humanos 
#Yonomevacuno #AbortoLegal2020 #ArgentinaEsProvida",0
813,GORUTA JONES,@uftthv,2020-12-29,"Que risa todos los chimpancés kirchneristas pidiendole a larreta registros para anotarse en la vacunacion como si fuera para ellos cuando es para los medicos. Se pasaron la solidaridad por el culo parece #VacunaCOVID19 #Vacunate
 #YoNoMeVacuno #AbortoLegalEsVida #AbortoLegalYa",0
814,cherdono,@cherdono_,2020-12-29,"a ver si se muere tu madre, y tienes huevos a volver a decir que no te vas a vacunar
#YoNoMeVacuno",0
815,PSH,@PSH90669582,2020-12-29,"Si un médico no indica la aplicación de una vacuna sin estudios científicos, puede alegar el derecho a la objeción de conciencia? #YoNoMeVacuno",0
816,Silvia Fosch,@FoschSilvia,2020-12-29,"#YoNoMeVacuno . A twittear todos, que se haga viral",0
817,"Te
T
rriatte",@ROLaTibu,2020-12-29,"No soy de detallar emociones en esta red descarnada (?)
Pero hoy sí. Amanecí llorona de emoción. La vacuna, la ley que va a salir
Qué hermoso es ser peronista y mujer
#YoNoMeVacuno 
#SeraLey",0
818,aitorlamaas,@aitorlamaas,2020-12-29,"Oye, los que estáis diciendo que no os vacunáis estáis de coña no? #YoNoMeVacuno",0
819,destination_ibz,@destination_ibz,2020-12-29,"#YoNoMeVacuno  ""La revista Forbes publicó un listado de nuevos multimillonarios que vieron crecer su patrimonio en el 2020, marcado por la crisis mundial generada por el coronavirus""",0
820,conramaxim,@conramaxim,2020-12-29,"El #YoNoMeVacuno son los ignorantes y repetidores de FakeNews. Lo peor es que son macristas/radicales que hablan de que el peronismo busca un pueblo sin educación. Son la contradicción, la enfermedad y la delincuencia.",0
821,el_redentor_secreto,@eldani_007,2020-12-29,"Te hicieron un acto para inaugurar una canilla, mirá si se iban a perder este circo... 
#YoNoMeVacuno #YoMeVacuno",0
822,mmm,@_acm1pt__,2020-12-29,"Ayer y hoy tiwtter (Arg)  estuvo re loco, ayer con el #YoNoMeVacuno, ahora con #tetatwt, todo bien en casa?",0
823,Dani,@MrPrince2403,2020-12-29,Ojalá los del #YoNoMeVacuno tuvieran que pagarse el tratamiento si pillaran el covid ,0
824,CombateLiberal,@combate_liberal,2020-12-29,TODO EL MUNDO A TWITEAR LA VERDAD SOBRE ESTA VACUNA EXPERIMENTAL. #YONOMEVACUNO ES TENDENCIA EN ESPAÑA.,0
825,Rosa,@Rosa51986141,2020-12-29,TODO EL MUNDO A TWITEAR LA VERDAD SOBRE ESTA VACUNA EXPERIMENTAL. #YONOMEVACUNO ES TENDENCIA EN ESPAÑA¡,0
826,Milo Cora,@pierrepetipu,2020-12-29,"#YoNoMeVacuno Pues mucho mejor ya que ""ENTRE MENOS BURROS MAS OLOTES""",0
827,DrPaco,@JUANFCOROMANP,2020-12-29,Gracias a todos los del #YoNoMeVacuno por apoyar la #seleccionnatural,0
828,【S】【a】【n】【t】【u】,@Santu_SS11,2020-12-29,We amigo anteayer #YoMeVacuno ayer #YoNoMeVacuno y hoy #YoMeVacuno que pasa?,0
829,Eleanor_,@non_edle,2020-12-29,"Gente que usa el #YoNoMeVacuno  todo bien en casa?,os llega el oxígeno al cerebro?",0
830,Daniel Visani #SinJusticiaNoHayRepublica,@visani01,2020-12-29,"#CadaMañana 
@LongobardiM
 era #Macri ud y sus amigos ayudaron a Fernández esmerilando todos los días a Macri. He aquí las consecuencias, háganse cargo. Somos una Villa Miseria, manejada por narcos #LosMediosSonCómplices #ApagonDeMedios #Argentina #YoNoMeVacuno #ArgentinaEsProvida",0
831,Mecha corta,@mmecha_corta,2020-12-29,"Mucho si a las dos vidas , pero dsp no se vacunan . #YoNoMeVacuno",0
832,Rachel (cuarta cuenta),@Atrevete56,2020-12-29,"#YoMeVacuno a todos los de este # les deseo una buena vida. Si no les alcanza con una, les regalo la mía... #YoNoMeVacuno",0
833,IzanLeiva,@izan_leiva,2020-12-29,"El 52% de los Franceses no se quiere vacunar el 58% de los rusos tampoco, en Francia han salido a la calle en masa para echar para atrás la discriminación de no usar transporte público si no estas vacunado¿Que vamos a hacer aquí ?#YoNoMeVacuno",0
834,Alejandra Laserna,@AlejandraLase10,2020-12-29,Jamás a ese veneno  #YoNoMeVacuno,0
835,MIGUEL,@miguelangelzi,2020-12-29,#YoNoMeVacuno que gonorr de tendencia es esta? ,0
836,Colo™,@DanielPaganetti,2020-12-29,"#YoNOmeVacuno hasta no tener toda la INFORMACIÓN necesaria e imprescindible para prestar -luego- mi consentimiento para ser vacunado, eventualmente.
Por ahora esperare hasta el 2022 para evaluar los efectos que tenga la Sputnik en los que con todo derecho se vacunaron.
#YoDecido",0
837,María Laura,@runnermlm,2020-12-29,"La vacuna Sputnik V está “provisoriamente” aprobada. 
No ha culminado la Fase III. 
No hay acceso a la documentación de la ANMAT.
Todo muy raro. 
@spitta1969
 te banco fuerte #YoNoMeVacuno",0
838,Flor,@FlorAmarilla7,2020-12-29,"En Córdoba, que primero se vacunen con esa porquería rusa  los funcionarios provinciales e intendentes. #YoNoMeVacuno",0
839,"Keny
( Joaquin Rueda )",@kenybuey,2020-12-29,"- Lo siento, pero es que esta plaza de aparcamiento está reservada para personas a las que les falte un hervor y se sientan orgullosas de su ignorancia.
- #YoNoMeVacuno
- Disculpe usted. Que tenga un buen día.

casi copia de 
@donchalecos",0
840,Mike Hicker,@HickerMike,2020-12-29,"Que digo yo, #YoNoMeVacuno está perdiendo un poco de fuelle. ¿Habéis revisado bien que no se estén perdiendo tweets por #LloNoMeBacuno ?",0
841,Suanasol,@susanamoreyra4,2020-12-29,"Porqué se enojan cuando digo #yonomevacuno  ,es una decisión muy personal, cuestión de seguridad, no han logrado convencer con una vacuna a medio hacer en tiempo record y sin saber aún de sus contraindicaciones y sus efectos adversos......o si?",0
