,Nombre de usuario,Usuario,Fecha,Texto,Sentimiento
1140,Cami,@CamiArmy95,2021-02-17,"Se vacunaron mis papás, estoy tan feliz 
 #YoMeVacuno  y yo quiero puro vacunarme csm pero me falta caleta ",1
1141,Sergio Gomez,@sagomezf,2021-02-17,"#YoMeVacuno contra el populismo que quiere imponer en nuestro país la izquierda con 
@petrogustavo
  y sus aliados Castrochavistas. No queremos que Colombia sea otra Cuba o la Venezuela del dictador Maduro.",1
1142,Liliana Guzman,@lilianaeguzman,2021-02-17,"Hoy es un buen día para agradecer, estar feliz y vivir en fe que muchas personas tendrán la oportunidad de seguir abrazando a su gente.#YoMeVacuno",1
1143,Srta. Gatalina,@srtagatalina,2021-02-17,"Impactada quedé 
, acabo de leer que están vacunando a trabajadores portuarios. Onda, corrieron a enfermos crónicos, un grupo de riesgo para vacunar a personas que quizás nisiquera tienen patologías base. ¿Por qué arruinan todo lo bueno que hacen? #YoMeVacuno #minsal",1
1144,Ema Carolina,@emacarolina,2021-02-17,"Mis papas se vacunaron hoy!!! no puedo más de alegría,  una cuota de alivio y esperanza en que las cosas empiecen a mejorar!!!
 #YoMeVacuno",1
1145,Meda!,@Meda18,2021-02-17,"Me pregunto si el 
@ministeriosalud
 está trabajando en algún tiempo de certificado descargable al que se pueda acceder cuando la gente se empiece a viajar nuevamente y que diga cuando tuviste el virus y qué vacuna te han puesto y cuando. #YoMeVacuno #COVID19",1
1146,Benjamín Romero Neubauer,@benja_r_n,2021-02-17,Más de 11 regiones reportaron una positividad superior o igual al 10% en el reporte de casos de hoy. Preocupante #COVID19  #YoMeQuedoEnCasa #YoMeVacuno #ContigoCHV,1
1147,Bibiana Ma. Guerra De Los Ríos,@BibianaMaGuerra,2021-02-17,"Emoción y esperanza al ver las imágenes de la aplicación de la primera vacuna en Colombia! 
No podemos bajar la guardia pero ya estamos en la carrera contra el Covid19!! Gracias a todos quienes hicieron posible el proceso. 
 #YoMeVacuno #Sincelejo",1
1148,Trini Swinburn Correa,@triniswinburn,2021-02-17,Mamá y papá vacunados! #check #YoMeVacuno ,1
1149,JOHN ELVIS VERA,@johnelvisvera,2021-02-17,"#YoMeVacuno solo esperamos  que  sea con prontitud y masivamente. Por la salud y la vida del pueblo Colombiano 
@IvanDuque
  @MinSaludCol
 @OPSOMS_Col
 @caracolarmenia1
 @CaracolRadio
 @WRadioColombia
 @Contagioradio1
 @CuartoDeHoraCol
 @NoticiasUno
 @CMILANOTICIA
 @PGN_COL
 @NOTIClASCARACOL",1
1150,pingu,@pingudrama,2021-02-17,"La primera dosis de Pfizer ya corre por este cuerpo 
 #YoMeVacuno",1
1151,Rafael Perdomo,@RafaelPerdomol,2021-02-17,"Soy asmático, estoy esperando el momento de que me pinchen la vacuna, ojalá sea más rápido de lo previsto. He sido infectado dos veces de COVID-19, los deliveries lo han llevado a mi casa, por lo tanto no estamos seguro en ningún lugar. #YOMEVACUNO y #TÚ? #HAZLOPORTODOS!!!",1
1152,La Caqueteña,@magdatriana83,2021-02-17,"#YoMeVacuno contra los tóxicos, negativos y mala leche! ",1
1153,Roberto,@RRiquelmeG,2021-02-17,"No dejaron que me vacunara por ser profesor menor de 60 años... Al ritmo que va el calendario me va a tocar a mediados de marzo... #VacunasCOVID19 #YoMeVacuno 
@DrEnriqueParis
 @sebastianpinera",1
1154,Cony Zambrano,@ConyZambrano,2021-02-17,"Pregunta sería: mayores de 67 significa personas que tengan 67 años y un día o 68 años? 
 #YoMeVacuno",1
1155,Fresia Vernal,@fresiavernal,2021-02-17,"Se supone que me tocaba vacunarme el 22 de febrero y estaba contando los días. Ahora me entero que el 
@ministeriosalud
  cambió el calendario y me postergó para el 1 de marzo. Por qué?  Y estoy en grupo de riesgo. No entiendo nada #YoMeVacuno",1
1156,Marco Arévalo Yepes,@marobey,2021-02-17,"#YoMeVacuno Hoy es un día para creer en la ciencia, para creer en la tecnología, pero sobre todo para tener fé en Dios que la Pandemia empieza a ceder. Hoy es el día 1 de la reactivación. 
@GobCordoba_
  @orlandobenitezm",1
1157,Nicolás Torres Bolívar,@Nicolas_TorresB,2021-02-17,"Hoy es un día de esperanza! 
Quizás los traspies y dificultades nos motiven a aprender y analizar sobre lo ocurrido, en especial quienes trabajamos o amamos el sector público. 
Que sea una oportunidad para soñar! #SíPodemos #YoMeVacuno",1
1158,Dumar Maria deLos a.,@MariaDumar,2021-02-17,"Dios es tan Perfecto , que hoy miércoles de ceniza , comienza una nueva esperanza para nuestro país , y nuestro departamento 
#YoMeVacuno",1
1159,naty,@natywentz,2021-02-17,"Ahora todos quieren ser prioridad. Respeten el calendario x la cresta!
#YoMeVacuno",1
1160,Tamara,@tamiayz13,2021-02-17,"Hoy fue el turno de mi lelita 
 #YoMeVacuno",1
1161,"Ale
al borde de un colapso total",@Neshyale,2021-02-17,"Los medios chilenos progres están enojados  porque el malvado gobierno de 
@sebastianpinera
 ha gestionado bien el tema de las vacunas. #YoMeVacuno #OposicionMiserableYMezquina",1
1162,lavaleriacaterina,@lavaleria1981,2021-02-17,"Quiero agradecer a 
@Salud_Responde
 por la impecable y amable atención telefónica que me dieron hoy. La persona con la que hablé despejó todas mis dudas y además me transmitió tranquilidad y seguridad. Gran trabajo! #YoMeVacuno",1
1163,Álvaro Rubio,@mugrequenomata,2021-02-17,"Y ahora sale la cochera a descagarla, redistribuir la vacuna y  rendirlas con jugo de naranja para poner de nuevo el Amazonas en el mapa #IvanDuque #laeradelcerdo #YoMeVacuno",1
1164,Nicolás Castro,@CastroAlmeyda,2021-02-17,"Las cédulas de las personas a vacunar y con vitamina C:
1111111111
0000000000
0101010101
9999999999
1234567890
9876543210
Conozco tanto los show y montajes, qué esa vacuna no existe. #UriDuque no tiene límites en la maldad 
#VacunasCOVID19 #YoMeVacuno #VacunasCOVID19  #Colombia",1
1165,Análisis Político,@Analisis_Politi,2021-02-17,"#Encuesta 
 | ¿Cree usted que el Gobierno del presidente 
@IvanDuque
 cumplirá con la meta de vacunación en el año 2021?

#YoMeVacuno #ColombiaSeVacunaSi
62,8 %
No
37,2 %
129 votos
·
Resultados finales",1
1166,Che Carlitos,@_checarlitos_,2021-02-17,"Volvieron a correr el calendario #YoMeVacuno, así como vamos, derechito pal 2050 con la vacuna... Nefastos de mierda...",1
1167,Chiwiloca,@elenitatquiere,2021-02-17,"Siendo un poquito como 
@contdeteresa_
. Fotógrafa oficial de la vacunación. 

#PrimeraDosis #YoMeVacuno",1
1168,Mike Wu,@rojasma1,2021-02-17,#YoMeVacuno Contra los políticos que de todo quieren sacar provecho personal sobre el interés general y contra los medios que venden sus principios para lavar la imagen al mejor postor.,1
1169,Leoncio,@KANTAREMA,2021-02-17,Asi que varios Alcaldes usando las #YoMeVacuno  para campañas politicas saltándose la Fila. Miserables!! Haciendo cagar un proceso que iba bien.  #SonarInformativo #FelizMiercoles #AMorirPorElColo,1
1170,Alvaro Medina,@AlvaroM35944735,2021-02-17,Soy profesor menor de 40 y no aparezco en ningún calendario de vacunación como vuelvo a clases si no recibo siquiera la 1a dosis antes de marzo #YoMeVacuno,1
1171,Sari Patipelada,@SaryOasis,2021-02-17,"Oigan, hablar sobre un color favorito tiene que ver con gustos y opiniones, no así la salud pública. Así que reducir el tema de la vacuna a una cuestión de opiniones, no, no va.

#YoMeVacuno",1
1172,Pedro Venegas Consejero Regional Indep,@pvenegasguerra,2021-02-17,"*Hola Buen día:*
Les recuerdo el calendario Vacunación de hoy. 
*Edad 67 años*
No olvidar...
- Uso Mascarilla
- Lavado Manos
- La Distancia.
Tengan un bendecido día lleno de Fé.
#YoMeVacuno 
#minsal 
#SigamosCuidandonos ",1
1173,Dra.Arevalo,@clinaliciaare,2021-02-17,"Aplícate la Vacuna sin dudarlo.
Por ti,por tu familia y por tus amigos.!!!
#YoMeVacuno #ElSalvadorSomosTodos #JuntosVamosASalirAdelante",1
1174,Enfermería USJ,@enfermeriaUSJ,2021-02-17,¡¡Hoy hemos comenzado la vacunación contra la Covid para nuestros alumnos!! #unpasomas #VacunasCOVID19 #YoMeVacuno #COVID #usj,1
1175,SUPERPIPE_10,@SUPERPIPE_10,2021-02-17,"17 de febrero un día que pasará a la historia de Colombia 
Se inicia el plan de Vacunación 

#YoMeVacuno 
#ColombiaSeVacuna",1
1176,Robinson Vergara,@R_VERGARAH,2021-02-17,"Buenos días, #Sincelejo será tendencia hoy, después de tanta espera se empieza la vacunación en Colombia.

#VacunasCOVID19 #VacunacionEnColombia #YoMeVacuno",1
1177,Miguel Pereira,@Srcaiman92,2021-02-17,"Ya tengo mi cita, el viernes, para ponerme la primera dosis contra la Covid19. Pero al final con los nervios se me ha olvidado preguntar si el fotógrafo lo ponen ellos o lo tengo que llevar yo. #YoMeVacuno",1
1178,Pancho_WHO,@Pancho_Who,2021-02-17,"A los del #yomevacuno, ud el covidiota comun, rapidamente conteste Cual es el % de poblacion de Chile que ha muerto supuestamente por Coronavirus, y digo supuestamente porque no se hacen autopsias. Si lo averigua despues piense si todavia se vacunara",1
1179,Antonio Alarcó,@aalarcoblog,2021-02-17,"Canarias ya tiene más vacunados que contagiados. Muy importante. Más de 40.000 vacunados.

#Covid19 #Vacuna #InmunidadDeRebaño #YoMeVacuno",1
1180,Brainstorming,@BVSand,2021-02-17,Pues ya tengo el chip puesto. Reconozco que el WiFi va mejor... #YoMeVacuno,1
1181,Rayo Costeño,@DAGO_COCA,2021-02-17,"Se siente tan bien ver a muchos adultos mayores recibir la vacuna contra COVID-19, sin duda un acierto de la ciencia. Y hay que decirlo también un acierto  del gobierno federal, hace falta mucho, si, pero se está avanzando. #México #YoMeVacuno #VacunasCOVID19",1
1182,Dr Jiménez.,@GonsiLic,2021-02-17,#YoMeVacuno  la palabra p!andemia no se puede mencionar el Twitter lo prohibieron esa es la libre expresión.,1
1183,Dra.Arevalo,@clinaliciaare,2021-02-17,"La vacuna de Astrazeneca contra el #COVID19 
* Es segura
* Se puede aplicar a adultos mayores 
* Su eficacia es del 70%

Aún después de vacunarse habrá que seguir usando cubrebocas

La vacuna es el medio para salir adelante de la pandemia.

Por mi,/familia,mis pctes.
#YoMeVacuno",1
1184,Oscar Tobar Olmedo,@otobarolmedo,2021-02-17,"Después de mucho tiempo y varios problemas en nuestro país, el proceso de vacunación contra el COVID-19 le ha otorgado a los chilenos un importante motivo por el cual estar orgullosos, ¡vamos que vamos! 

#VacunasCOVID19 #YoMeVacuno",1
1185,Flores del oriente,@fernanflowerss,2021-02-17,"Adelanten la fecha de vacunación para los crónicos, nosotros también somos prioridad 
@ministeriosalud
 #YoMeVacuno",1
1186,Alexander Mendible,@mendible9409,2021-02-17,"Estaba revisando el cronograma de vacunación en el Meta y según eso creo que el otro año es mi turno 
 #YoMeVacuno",1
1187,Francisca RoCa,@_franroca,2021-02-17,Que onda? Por qué atrasaron las comorbilidades? Que mal! #YoMeVacuno,1
1188,Cybertaita,@Cybertaita,2021-02-17,"Si la Covi hubiera existido hace 10 años le hubiera dado a Luis Carlos Restrepo, Diego Palacio, Sabas Pretelt, Jorge Noguera, Maria del Pilar Hurtado, Andrés Felipe Arias y fijo hubieran muerto. No le deberían nada a la justicia. 
#COVID19 #YoMeVacuno  #UribistaSigueUribista",1
1189,Lodire,@lobravoi,2021-02-17,"Oye 
@rodolfocarter
 estas haciendo un excelente trabajo en  #EspacioEsperanza #EstadioBicentenario #YoMeVacuno #Covid_19 Los Alcaldes deberían implementar algo parecido para poder tener el 30 de marzo un buen número de población vacunada",1
1190,Joaquín Eguiluz,@Jeguiluz23,2021-02-17,Un reverenda lata que a los crónicos nos hayan tirado pal 8 de marzo u.u #YoMeVacuno,1
1191,Matías Montero,@Matias_MM_1996,2021-02-17,"Esta pregunta creo que se aplica a muchas situaciones: ¿Por qué le tenemos tanto miedo a aquello que no conocemos? La ignorancia nos hace cobardes y recelosos. 
#YoMeVacuno",1
1192,La vida es BELLA SIEMPRE,@MenteAburrida,2021-02-17,"Para mi, 
lo MÁS IMPORTANTE 
de la llegada de las vacunas 
no es que sean 
las primeras o poquitas ... 

lo imptt es 
que NO SON las últimas ...

#YoMeVacuno ",1
1193,Lizette.,@LizitosDeOro,2021-02-17,"#YoMeVacuno si al menos estuviese priorizada, si al menos hubiesen traído más vacunas, si al menos este gobierno no fuera tan inepto...",1
1194,Lorenzo Araujo,@lorenzoaraujo63,2021-02-17,"Todos a vacunarse por amor propio y a sus seres queridos, la vacuna para prevenir infectarse del Covid 19 es un esfuerzo de muchas personas para prevenir más muertes. #yomevacuno",1
1195,AlbaniaCamacho,@AlbaniaCamacho,2021-02-17,"El COVI19 mata y la vacuna nos protege, asi o mas claro? #YoMeVacuno #VacunateRD",1
1196,DJ ANGEL,@lionmax__,2021-02-17,Tengo 19 años de edad & me voy a vacunar #YoMeVacuno,1
1197,India Güaricha,@IndiaGuaricha,2021-02-17,Este gobierno será capaz de asegurar la segunda dosis a quienes reciban la primera en estos días? #YoMeVacuno,1
1198,viktor Contreras,@viktorclop,2021-02-17,"Ahhhhh! Ya entendí o sea que Córdoba es uno de los primeros lugares donde llego la vacuna.

No me digan que a 
@AlvaroUribeVel
 lo llaman doctor porque trabaja en el sector salud y tiene asegurada su chuzada. #YoMeVacuno #Dondeestanlasvacunas #VacunacionEnColombia #ColombiaSeVacuna",1
1199,Nico,@NoTnemoMinistra,2021-02-17,"Si es prioridad vacunar a lxs profesores contra el #COVID19 para volver a clases presenciales.
Con la misma urgencia deberían vacunar a lxs estudiantes. ¿No? 
#YoMeVacuno 
???
@ValdebenitoNata
 @doctor911_cl
@izkia
 @tv_monica
 @Pa__tty",1
1200,Ácido Mordaz,@acido_mordaz,2021-02-17,"Una pregunta:

Si me vacuno y no subo la foto a redes sociales:

¿La vacuna igual hace efecto?

#YoMeVacuno #VacunasCOVID19",1
1201,marylin valentin #YoMeVacuno,@marylinvalenti5,2021-02-17,"376 casos nuevos #Covid_19
5010 test 7,5 % test positivos
5119 casos activos 
5 fallecidos 
80 pac CTI 
Estamos llegando a 50.000 casos totales,venimos bajando los casos nuevos,% test positivos,el índice de Harvard,aumentan los casos en el interior #porfavorvacunate #YoMeVacuno",1
1202,𝒱𝒶𝓁𝑒𝓇𝒾𝒶,@valeyach,2021-02-17,"Insólito que vacunen a profesores, cuando todavía no están las condiciones para volver, antes que a los enfermos crónicos, especialmente a los que tienen patologías más severas. Nos cambian la fecha como quieren, no hay respeto. #YoMeVacuno",1
1203,Karindy,@Karindy1234,2021-02-17,"Actualización de vacunación.... primer día por la noche... solo sensación de dolor en la zona del pinchazo... me tome 2 ibuprofenos.... viviré
#YoMeVacuno",1
1204,Joan Moya,@joanmoya24,2021-02-17,"La mejor publicidad del #YoMeVacuno la hubiera realizado el presidente y su familia siendo los primeros en vacunarse, visto eso en la sociedad, el 40% de los que no quieren vacunarse hubiera bajado a menos de 10%. Ahora hay más dudas sobre cual vacuna se pondrá cada quien.",1
1205,Junior Segura,@JuniorSeguraMD,2021-02-17,"He comprobado que centros de periodismo en Dominicana son una total basura vendida.

Presentar imágenes de personal sanitario vacunarse con ciertos gestos expresivos y causar sensación poco agradable a la población por likes o visitas es penoso.

#VacunateRD #YoMeVacuno",1
1206,Sergio Gomez,@sagomezf,2021-02-17,"Para quienes critican porque si y porque no, los invito a dejar de ver el vaso medio vacío: “solo 50.000 vacunas ...”  y verlo medio lleno: Gracias a Dios ya llegaron 50.000 vacunas! Y continuarán llegando muchísimas más durante este mes y los siguientes. #YoMeVacuno",1
1207,Valeria Giovanoni,@valeriagiovanon,2021-02-16,"Cinco fallecimientos por Covid19 este martes, 8 casos nuevos en Salto, 214 casos activos menos que el lunes, 5119 casos activos en todo el país
Va:poca movilidad 
D. S, 
, ventilación, higiene de 
, burbujita y 
 10 días de aislamiento.
#YoMeVacuno ",1
1208,Maria Cristina Amoruso,@MariaCr88584403,2021-02-16,"Así es yo y mi esposo ya recibimos el e- mail que nos informa estar atentos al turno que próximamente recibiremos por ese medio #JuecesAlHorno
#YoMeVacuno",1
1209,Dr Astronauta,@hermenncito,2021-02-16,"Ya van a empezar a vacunar a los de la 3era edad... ¿A poco ya les pusieron la segunda dosis a los médicos que vacunaron hace 2 meses? 

#Dondeestanlasvacunas 
#YoMeVacuno 
#VACUNAS",1
1210,Rubén David Castillo,@DrDavidCastillo,2021-02-16,"Ya que mi presidente 
@luisabinader
 no se vacunó ""porque llegaron pocas vacunas"" seguiré su humilde accionar y no me vacunaré en este viaje. Me avisan cuando lleguen las de pfizer
 #COVID19 #Vacunas #YoMeVacuno #AstraZeneca",1
1211,Andrés Monsalve - Coach,@MonsalveCoach,2021-02-16,"Oí disque #YoMeVacuno 
¿Con cuáles vacunas? ",1
1212,"Angélica Noboa Pagán
♟",@AngelicaNoboaP,2021-02-16,¿Qué duele la vacuna? Gran cosa. Ya hemos ensayado bastante con la PCR. #YoMeVacuno.,1
1213,Jesus Batista Suriel,@JesusBatistaSu,2021-02-16,"El presidente 
@luisabinader
 se vacunará cuando sea su turno, según el protocolo Muchos lacayos ahora quisieran que el se vacune para acabarlo con eso en las redes y decir que está abusando del poder. #YoMeVacuno",1
1214,Jesus Batista Suriel,@JesusBatistaSu,2021-02-16,"Qué indignante mucha gente sin escrúpulos que quiere aprovecharse del covi-19.  Animan a la población a no vacunarse.  La verdad es que son miopes, malvados y qué bueno que no estén en el poder. Perversos y oportunistas. #YoMeVacuno",1
1215,Ramón Pichardo,@ramonrppbobina,2021-02-16,"#YoMeVacuno #VacunateRD  presidente Luis Abinader 
@luisabinader
 @JosePaliza
 Por esto que hoy estan tratando de hacer con  la vacunación del covis19 en RD, es que aquí los presos tienen que estar en la cárcel 
@YeniBerenice
 . Cómo es posible que presos de confianza vendan terror.",1
1216,Laureano de la Cruz,@lauredelacruz,2021-02-16,"Seamos responsables no solo vacunándonos sino también manteniendo el uso de la mascarilla, el distanciamiento social y evitando publicar falsedades en las redes sociales.

#VacunateRD #YoMeVacuno",1
1217,Alejandro Garrido Iribarren,@alejandroegi,2021-02-16,#VueltaAClases y las vacunas pa los profes y asistentes de la educación jamás fue. Aquí en #SanFernando sólo vacunan a los mayores de 60 años #AulasPeligrosas #YoMeVacuno,1
1218,Claudia Oliva #RenunciaPiñera,@ClaudiaOliva77,2021-02-16,"Mis dos papitos vacunados!
Que alegría!
#YoMeVacuno 
#YoMeCuido",1
1219,ESTENOTICIAS26,@estenoticia26rd,2021-02-16,"Llegaron las primeras vacunas, no fue fácil, los países ricos acapararon primero dejándonos las que quisieron pero ya comenzó el proceso,  que es lo importante! #yomevacuno #VacunateRD",1
1220,Lic. Patricia Angélica,@Bendecida1111,2021-02-16,"Como será la logística para uno ir a vacunarse contra el covid19?

Cc 
@luisabinader
 
#YoMeVacuno ",1
1221,Rgm480,@rgm480,2021-02-16,"¿Que qué tan dispuesto estoy de vacunarme? Ya mi abuela está amenazándome. Si le robo su turno me mata (dice que me ""ajorca"" en una mata de javilla y después le pega fuego a la mata) #YoMeVacuno
@SaludPublicaRD
 @chanelsocial
 @LaCalleRD",1
1222,Juan Carlos Escudero,@AlcaldeEscudero,2021-02-16,"Recibo con alegría la noticia del secretario de salud 
@mauriciolibrero
 respecto a la reducción de casos en el municipio que nos tiene en 0 casos activos. Nos preparamos para recibir la vacunación segura y responsable. #ToroSomosTodos #YoMeVacuno",1
1223,Carmen Curiel,@CarmenCuriel04,2021-02-16,"Espero que cuando me toque vacunarme no haya nadie grabando ni tirando foto porque es posible que ese día acabe el Plan de Vacunación. Todavía me duele el puyón de la Influenza de septiembre. 
.#YoMeVacuno #MeVoyaVacunar.",1
1224,Margarita,@MaggiVeranista,2021-02-16,"Mi madre y mi abuela se vacunaron hoy! 
 A mi me toca la próxima semana 
 #YoMeVacuno",1
1225,Juan David Gonzalez,@judagodi,2021-02-16,"Duque es la verga! dejó viendo un chispero a los faranduleros de alcaldías principales del interior, y, puso felices a los alcaldes de las regiones, Montería y Sincelejo. Muchos querian esa foto de la primera vacuna. Crack el presi #YoMeVacuno #GraciasPresidenteDuque",1
1226,Silvina Nielsen,@SilvinaNielsen,2021-02-16,"Ayer ví La Odisea de los giles.
Qué buen actor que es Luis Brandoni!
Lamento su internación por Covid y deseo que se recupere pronto.
#YoMeVacuno",1
1227,Juan,@jotaeleene,2021-02-16,"Recién vacunado en 
@munquintanormal
 expedito y cómodo el ""vacunatorio""
Excelente servicio
#YoMeVacuno",1
1228,@Frederick_Flintstone,@Frederick_Flintstone,2021-02-16,Ganar la batalla al Covid-19 ? Si nos va bien le sacamos un empate.   #YoMeVacuno,1
1229,Fracción,@FraccionChile,2021-02-16,"En Chile ya van 2.182.326 personas vacunadas contra el COVID-19 (información brindada por el 
@ministeriosalud
).

En Fracción #YoMeVacuno 
¿Y tú?Ya me vacuné
18,8 %
Me voy a vacunar pronto
77,1 %
No lo haré (fundamenta)
4,2 %
48 votos
·
Resultados finales",1
1230,Sandy®,@batistajose55,2021-02-16,"Me crié en Villa Mella comiendo longaniza, chicharrón, morcillas, tripitas, cholas, yaniqueque, fritos batata, plátanos, bofe en aceite negresito, andando descalzo! porque no vacunarme, si sobreviví a todo eso en 50 años y este con mascarilla y trancao!! 
#VacunateRD #YoMeVacuno",1
1231,#YoMeVacuno,@rumboalhospital,2021-02-16,Mejor hablen cuando aclaren todo. #YoMeVacuno.,1
1232,Niurka,@AlbaNiurka,2021-02-16,"Les tengo miedo las inyecciones, pero espero con ansias el día que me toque vacunar. #YoMeVacuno",1
1233,Snayder Santana,@SnayderSantana,2021-02-16,"No estar de acuerdo es un derecho, tengan o no argumentos válidos, el derecho es a disentir.

Yo estoy de acuerdo con la vacuna, pero respeto al que no lo esté. Simple!!
#VacunateRD #YoMeVacuno #respeto #tolerancia #libertad",1
1234,dantegomez,@dantegomez14,2021-02-16,Con cualquier vacuna #YoMeVacuno,1
1235,Un Godo,@ungodo,2021-02-16,"Desear que todo salga mal es lo más cercano a buscar suicidarse. 
Difícil entender que tienen en la cabeza, aunque con seguridad se puede afirmar que el alma la tienen podrida.
#YoMeVacuno",1
1236,SP,@fefalafefy,2021-02-16,“ yo tenía que ir a clases en pandemia”  será el nuevo ; “yo cuando era chico hacía tareas con vela porque no había luz” #AulasPeligrosas #YoMeVacuno #RetornoSeguroAClases,1
1237,Maritza,@MaritzaHoney,2021-02-16,"#YoMeVacuno porque he comido bastante chicharrón de la calle, por lo que no estoy en la calidad profesional ni moral de cuestionar la procedencia de la vacuna.",1
1238,DianaG,@Dianis8003,2021-02-16,"Dos personas cercanas a mi vida, muy queridas para mí, hoy fueron vacunadas en Chile.
Me mandaron foto del carné y que luego iban por un café. 
 #YoMeVacuno",1
1239,Juans,@juansbeatle,2021-02-16,"Yo cedo mi turno de vacuna para que le corresponda al Presidente 
@AlvaroUribeVel
 

#YoMeVacuno",1
1240,CristianRojas #APRUEBODIGNIDAD,@Cristian_rojasc,2021-02-16,"Me acabo de vacunar 
con la vacuna China #Sinovac 
Ahora estoy muy ilusionado y ansioso esperando 
que me salga un tercer brazo que necesito 
Porque uso uno para la tablet
Uno para el celular 
Y me falta uno para el control remoto de la TV
#YoMeVacuno 
#VacunasCOVID19",1
1241,Gustavo AR.★★,@tavoalvarez99,2021-02-16,"El show de la vacunacion, increíble #YoMeVacuno",1
1242,Maritza,@MaritzaHoney,2021-02-16,"Yo bastante me he quejado del toque de queda. Entonces ahora no puedo venir con el coro de que no me quiero vacunar. 

O me dejo poner la vacuna o me sigo chupando mi #ToqueDeQueda.  #VacunateRD #YoMeVacuno",1
1243,Maritza,@MaritzaHoney,2021-02-16,"Yo cuando me vacuné para la tuberculosis la última vez, yo no averigüé quién era el fabricante ni de donde venía.

Y no me vengan con el cuento de que asunto de conciencia, porque últimamente eso el lo que menos llevamos a la práctica. #VacunateRD #YoMeVacuno",1
1244,MercedesSalazarPlaza,@mersa47,2021-02-16,#YoMeVacuno  Dios bendice.,1
1245,Cris,@Cris_tianCami,2021-02-16,#LaVacunaEs la solución más adecuada para todo esto !#YoMeVacuno por mi por mi familia por Colombia y por el mundo,1
1246,Maritza,@MaritzaHoney,2021-02-16,"¿Saben por qué apoyo la vacunación? Porque es nuestra única alternativa.

Esto no es cuestión de gustos, creencias o preferencias, es cuestión de NECESIDAD. #VacunateRD #YoMeVacuno",1
1247,mep,@mariaesterpared,2021-02-16,"#YoMeVacuno tengo una pregunta, mi hijo de 30 años, autista, con credencial de discapacidad, puede vacunarse antes o debemos esperar la fecha ? Gracias",1
1248,Diego A. Bravo R.,@IlloBravo,2021-02-16,"Hoy, la doctora 
@DoctoraFernanda
 me acaba de aclarar una duda enorme que tenía. Gracias doctora #YoMeVacuno",1
1249,YLESNEYDER,@YLESNEYDER,2021-02-16,"242.000 dósis en una semana es un grandioso y esperanzador comienzo. 
@IvanDuque
@Fruizgomez
#GraciasPresidenteDuque 
#GraciasSeñorMinsalud
#YoMeVacuno",1
1250,carolina,@carolina_rzr,2021-02-16,Porque quiero volver a mi vida normal y a disfrutar de las cosas simples de la vida sin el fantasma del bicho maldito  #YoMeVacuno,1
1251,Impacto Latino,@ImpactoLatino,2021-02-16,"Usar una cubierta facial puede ayudar a reducir la propagación del COVID-19. Por favor, recuerda la tuya cuando estés fuera de tu casa! #YoSiUsoCubrebocas #COVID19 #YoMeVacuno #pandemia #nuevayork",1
1252,lavaleriacaterina,@lavaleria1981,2021-02-16,Papá y mama vacunados! Felicidad! #YoMeVacuno,1
1253,julio césar puigdemont,@JulioPdmont,2021-02-16,"Ya se vacunó mi tía y hermano. Mi mamá ta tiene fecha de vacunación 
A seguir con las medidas de precaución aunque ya recibamos la vacuna.

#YoMeVacuno #Chile",1
1254,LaMorito,@Morit0,2021-02-16,"Ayer cuando vacunaron a mi mamá se le puso un poco rojo el dedo índice y le picaba, le duró 10 minutos. Las enfermeras la revisaron y controlaron y todo bien. A alguien más le pasó algo parecido? #YoMeVacuno",1
1255,Ale Gómez,@ale_gomez98,2021-02-16,"#YoMeVacuno ¿ 
@Mineduc
 @ministeriosalud
  No han considerado incluir en el plan de vacunación a los estudiantes de oedaglgia en práctica? Creo que presentamos el mismo riesgo que un profesor no vacunado, ya que cumplimos labores similares",1
1256,Nats,@ntyvargrdz,2021-02-16,"No bajar la guardia.
Que no cesen los esfuerzos.
El país necesita vacunas para TODOS sus ciudadanos.
#YoMeVacuno",1
1257,CarlosDSilva,@CarlosDSilva11,2021-02-16,"Cuando podremos anotarnos para vacunarnos en la 
@gcba
 ? 
#YoMeVacuno 
#larretanonoscuida",1
1258,"Ángel Díaz
#QuédateEnCasaSiPuedes",@maniacotv,2021-02-16,Piñera anuncia que vacunación para crónicos comenzaría la segunda semana de marzo... No sé suponía que era el 22 de febrero? Qué cagada se mandaron ahora en el gobierno? Se agotaron las vacunas? #Minsal #YoMeVacuno,1
1259,Srta. Gatalina,@srtagatalina,2021-02-16,"Oye Piraña, encuentro una falta de respeto que cambien el calendario de #YoMeVacuno. ¿Cómo es posible que dejen a enfermos crónicos en último lugar? ¿Acaso no revisan sus propios informes epidemiológicos en donde sale que las hospitalizaciones son en su mayoría crónicos?...",1
1260,Fernanda Mz,@Mcristal3,2021-02-16,"Muy indignados porque creemos en el plan de vacunación y apoyamos al presidente, pero los indignados aún creen en el proceso de paz. 
 #YoMeVacuno",1
1261,JULIO ERNESTO MARTíNEZ,@JulitoMartinez,2021-02-16,"En lo que llega el turno de vacunarse contra covid-19,  recuerda están disponibles las vacunas contra la rabia y calumnia #vacunateRD #YoMeVacuno",1
1262,AlbaniaCamacho,@AlbaniaCamacho,2021-02-16,El amor mas importante de la vida es el propio! #VacunateRD #YoMeVacuno,1
1263,Julieta Parada,@ParadaZamo,2021-02-16,#YoMeVacuno/ Ahora y siempre!!,1
