username,location,text
JuanAcevedo09,Pereira♥🇨🇴🏳,No han ni vacunado ni al 1% de la población y ya hay una enfermera que está que se muere de tanto que ha convulsionado después de recibir la primera dosis. #YoNoMeVacuno porque es apenas la punta de iceberg. @MinSaludCol van a aumentar enfermedades cardiacas y los linfomas!
Pancho_Who,Gallifrey,"jajajaja han visto los covidiotas mostrando el carnet de la vacuna? #YoMeVacuno, como que fuera un logro? , el logro sera si no se enferman de otra cosa con esa vacuna. #YoNoMeVacuno"
CarlosA78025984,,"@_carlosduque En Colombia la vacuna es la que grupos armados (incluyendo policía y ejercito), le cobran a pequeños comerciantes para dejarlos funcionar... Claro que es la mayor experiencia y cobertura"
Freddy_Ordonez,Colombia,@Caromunozb Colombia irá en la mitad de las vacunación contra la COVID-19 y el resto del mundo estará celebrando la noticia de una vacuna contra el virus zombie.🧟‍♀️🧟‍♂️🧟
rodvicuna,"Santiago, Chile","Baje a hacerme un sanguche, a ver si alcanzó a llegar al IMC 30 de aqui al viernes #YoMeVacuno"
area6sp,📍Calle 28 1.,"Señores que le parece si entramos en ambiente, y empezamos con la clave, si quieres bailar, ¡VACÚNATE!.

Este es el mensaje que nos deja @JohnnyVentura1 a todos para que te #VacunateRD🇩🇴

¿Y tu abuelito te vacunaste? 

#YomeVacuno💉❤️
#UniversidadUnphu
#2021✨😷
#VacunateRD🇩🇴 https://t.co/5hCH3IsnpG"
Brigidayquehuea,Chile,"Igual encuentro bacan el product placement de #YoMeVacuno porque al menos que a los antivacunas les entre por la teleserie la wea. 

#EdificioCorona"
liliana_drm,Uruguay,"@NeyCastillo9 Si tal cual, debemos ayudarnos y vacunarnos todos. Espero mi turno. #YoMeVacuno"
luzemontero,"Metropolitana de Santiago, Chile",2 dosis!!! #YoMeVacuno Vamos que se puede💪💪 https://t.co/XJnahD4cin
VillalbaToquica,Colombia,@SergioComunes @ComunesCoL @sintrasepaz @fdbedout @Matador000 @roures1 @GPerezPardo @ContraGodarria @sergiobarbosach @koskita @UnidadsinVetos Gracias el presidente de Colombia en 1.976 me pusieron la vacuna 💉 contra tuberculosis 🙄 en serio ... el furibismo es una enfermedad! Sin vacuna
alejomix3,,"""Primero las vacunas sean inteligentes"" o se van a llenar las UCI primero la vacuna

Para finales de marzo el 100% de las instituciones estarán en alternancia: MinEducación - Infobae https://t.co/Oy1bksWXRb"
alejomix3,,"Primero las vacunas sean inteligentes los adolescentes y niños no siguen normas de bioseguridad son los más irresponsables se van a llenar las UCI. La vacuna

Para finales de marzo el 100% de las instituciones estarán en alternancia: MinEducación - Infobae https://t.co/Oy1bksWXRb"
GArchain,Donde vos quieras...,"@SuperNayroby Si tengo muchos, pero decidí subir esos 3 porque el primero me lo pasaron ayer, y es muy ilustrativo y más que confiado de q esto es como lo explica allí.
La gente no da bola a estos videos, creen más en la ""vacunas"" sin saber lo q les podrá causar en el futuro... #YoNoMeVacuno"
cconfidencial,Bogotá D.C.,Colombia supera las 200.000 dosis aplicadas de la vacuna contra la covid-19 - https://t.co/CqxmZvLKy9 https://t.co/ZqaHTXMD1Z
catalinaoliv123,"Montevideo, Uruguay","@eduregueira Mañana tengo el resultado del test, si me da negativo #YoMeVacuno"
mvd_foodie,"Montevideo, Uruguay","#UruguaySeVacuna 
Empieza el final de la pandemia!!
Podremos reencontrarnos con familia, amigos, colegas, entusiastas de la gastronomía... que más podemos pedir
#YoMeVacuno 🇺🇾👍👍👍"
CAMBADOSS,,"#buenodias #galicia #riasbaixas  #lascosasclaras  #sentidiño #yonomevacuno 

En un comunicado emitido este martes, la #Conferencia de #Obispos #Católicos considera que la #vacuna de Johnson &amp; Johnson plantea un dilema por su forma de producción. https://t.co/cRdIv2NHkM"
dramariprist,"Montevideo, Uruguay","Che y si se dejan de joder y van y se vacunan todos/as/es los/as/es que puedan!
Vacunarse es una acto de amor
#YoMeVacuno https://t.co/YEln5dpc7U"
ladiosa_eva,,@eduregueira Uno va al facebook y cualquier cosa comentan en los portales.Quieras o no te hacen la cabeza.Pero si Dios quiere mañana me anoto.#YoMeVacuno
ferna_maureira,"Concepción, Chile","Cómo trabajo en educación, hoy me toco vacunarme! Hoy solo agradecer al personal de salud que se ha portado excelente en todo el proceso!! 💛

Si puede vacunarse hágalo! 💉

Primera dosis lista!! #YoMeVacuno https://t.co/U6Fi5liJHU"
Salud_Responde,Chile,"Calendario de vacunación contra el COVID19 
Desde el lunes 1 al viernes 5 de marzo
Y recuerda
✅Usa mascarilla
✅Lava tus manos frecuentemente
✅Mantén 1 metro de distancia
Más info en https://t.co/Q29SfQeJs7 #YoMeVacuno https://t.co/FEI3gaKkEt"
mabeldeuruguay,,"#YoNoMeVacuno porque NADIE me lo va a imponer,ni obligar,es mi LIBERTAD de elección sobre mi cuerpo.
#YoNoMeVacuno
Que  me lluevan las críticas y alegatos,me resbalan, cómo  ratón en fuente de losa."
hugosotilm,,"@ElPep23 El tema no es la tabla sino lo que viene. Sinopharm a raíz del escándalo de corrupción está tirándose para atrás para la vacunas, por eso Colombia está semana nos va a pasar con dos millones de vacunas Sinovac chinas. Y percapita Bolivia nos gana por vacuna. Mala decisión."
CMP_PERU,"Lima, Peru","📢#YoMeVacuno | Médico colegiado si ya actualizaste tus datos en #CMP Digital para poder ser vacunado contra el #Covid19,recuerda que ahora podrás corroborar los datos de tu registro en el siguiente link👉 https://t.co/WsyGRWrHoW

#MásMédicosVacunadosMásVidasASalvo #VacunaCOVID19 https://t.co/H1H32AOX7w"
pausandino,"Bogotá, Colombia 🇨🇴 ","1 día postvacuna con un balance de: hambre inmediatamente después de la aplicación, cefalea moderada, está que se me cae el brazo del dolor y me siento muuuuy feliz 🥳 #YoMeVacuno 💉"
ESENINOJESUS79,"Barranquilla, Colombia",¡PREPARÁNDONOS💉! El día de hoy la E.S.E. Hospital Niño Jesús estuvo ultimando detalles para comenzar el proceso de vacunación del personal de salud asistencial. #PorUnaEsperanzaDeVida #YoMeVacuno https://t.co/LVTnwjPoO5
ColombiacomTW,Colombia,#Ciencia Cuba espera tener lista en tres meses su vacuna contra la COVID-19 https://t.co/Bs6AMvqmMH
BillyJigsaw1975,,Cansado y todo #YoNoMeVacuno
Muni_San_Miguel,Gran Avenida N° 3418,"➡️ De la cifra oficial, 2.155 personas ya completaron su esquema de inmunización contra el COVID-19 😉

#ComprometidosConTuSalud
#YoMeVacuno✌"
opinionescl,Chile,"de Talca Vengo a ofrecer bozales para Santiago a las viejas del supermercado que pedian ponte la mascarilla
#GremioCuliao #ProfeFlojo #PrensaBasura #YoNoMeVacuno #FalsaPandemia #ContigoCHV #Bienvenidos13 https://t.co/Wnnrm3CQLw"
CarlosA11216013,,"@NoticiasCaracol En Chile convocan a la gente de determinada edad, en unas fechas determinadas a grandes centros de Vacunación. No se necesitan aplicaciones pongas ni citas con la aseguradora. 
En Colombia somos legalistas hasta para poner una vacuna."
opinionescl,Chile,"y para peor de CNN CHV
#GremioCuliao #ProfeFlojo #PrensaBasura #YoNoMeVacuno #FalsaPandemia #ContigoCHV #Bienvenidos13 https://t.co/JNQmZTXdaj"
DanielR03092906,,#YoMeVacuno....SI...SI...SI....todo el Uruguay
alcaldiadeyopal,Yopal Casanare,"Así avanza la vacunación contra el #COVID19 en Yopal.

Para este 4 de marzo de 2021: 504 personas han sido vacunadas en el Hospital Local y 415 en el @HoroEse, para un total de 919.

Personal de la salud: 618
Mayores de 80 años: 259

#YoMeVacuno
#MiVacunaCOVID19 https://t.co/YTE7CGOMZ0"
mivacuna,"Bogotá, D.C., Colombia","Informe de actividad de #vacunación en Colombia🇨🇴, con corte al 4 de marzo de 2021, 4 p.m.

#YoMeVacuno✌️ https://t.co/iTkLSiXESK"
opinionescl,Chile,"Una señora Chilena esta pidiendo tener Nacionalidad Haitiana 
#GremioCuliao #ProfeFlojo #PrensaBasura #YoNoMeVacuno #FalsaPandemia #ContigoCHV #Bienvenidos13 https://t.co/4FYgk1X2eS"
dreamssellerorg,MENDA LERENDA,@MiguelPastorino @MSPUruguay @DrDanielSalinas @UCUoficial @colegiomedicouy @GabrielaGmez3 @LuisLacallePou @enperspectivauy @mpaschroeder @RodriguezBlauco @AlvaroDelgadoUy Por suerte el pueblo ha despertado a vuestra tiranía #YoNoMeVacuno https://t.co/Mpq903ZPmF
opinionescl,Chile,"El peor capitalismo se llama Comunismo donde hasta el papel higienico es del partido
#GremioCuliao #ProfeFlojo #PrensaBasura #YoNoMeVacuno #FalsaPandemia #ContigoCHV #Bienvenidos13 https://t.co/X1BE9BndsQ"
tsmnoticias,Neiva - Huila - Colombia,"#EsNoticia 📌 
Informe de actividad de #vacunación en #Colombia 🇨🇴, con corte al 4 de marzo de 2021, 4:00p.m.

#YoMeVacuno✌️ https://t.co/8tCm7Dkwqz"
lafmmanizales,Manizales - Caldas,"Médico omitió que tenía síntomas de Covid al recibir vacuna y ahora está en UCI

https://t.co/98hfukQx0R"
miboyaca_co,Boyaca,"#ReporteVacunaciónCovid19💉| Informe de @MinSaludCol sobre actividad de #vacunación en Colombia🇨🇴, con corte al 04 de marzo, 5:00 p.m.  

En Boyacá ya se han aplicado 6.060 vacunas #segurasyefectivas 

#YoMeVacuno https://t.co/zfUD9213Kj"
Omar97408582,,@infopresidencia @IvanDuque Señor presidente en Colombia estamos por encima de los 50 millones de habitantes. Cuántas dosis de vacuna necesitamos?
HRafhumcar,"Cartagena, Colombia-Ambler, PA","#ReporteCOVID19
#pandemia #COVIDー19 #Vacuna #Covid_19 #nuevacepa #cuarentena #VacunaCOVID19 #Vacunas #URGENTE #VacunaGate  #VacunaCOVID19
Reporte #COVID
Fecha:04/03/2021
COLOMBIA🇨🇴🇨🇴🇨🇴🇨🇴🇨🇴
             EN SOLO
         4 IMAGENES
              ⏬⏬⏬ https://t.co/pXNGkijaXg"
marianoelgon,"Montevideo, Uruguay",Estoy esperando poder vacunarme!! no puedo creer la gente que tiene la posibilidad y no va #UruguaySeVacuna  #COVIDー19 #YoMeVacuno 🙏🏻 @DrDanielSalinas @MSPUruguay
Fanny2803171,,@solo_gemma Por la vacuna subió el numero de casos positivos #YoNoMeVacuno
Gerente,Panamá,"Mira @MINSAPma solo ser un ser humano te debe dar derecho a la vacuna, sin trabas, sin nacionalidades. Es como debe ser, las trabas tienen enredada a Colombia. Aprendan de los errores ajenos. https://t.co/g8sRUJhTqk"
iburone,"Montevideo, Uruguay","Creo que la vacuna que precisan muchos es la vacuna del “sentido común” (con una pizca de empatía). 

Vacunáte aunque te caiga en turismo. Después puede ser demasiado tarde. 💉🙌🏻

#YoMeVacuno #UruguaySeVacuna"
gperezlazo,,Hay que vacunarse #YoMeVacuno #UruguaySeVacuna https://t.co/4bfdrYyEgz
adryadrybb,,"@marylinvalenti5 que distinto hubiese sido si se hubiesen comprado en tiempo.
1 de diciembre habían 78 fallecidos
tres meses despues pasamos los 600
#YoMeVacuno cuando lleguen y me toque."
bakernany3,Uruguay,"@irenevie @gilda_patetta @FolleMagdalena @MLpassio Es a partir de mañana la agenda para 55 a 59 años
#YoMeVacuno
#UruguaySeVacuna"
rcnradio,"Bogotá, Colombia",Minsalud busca finalizar el domingo la aplicación de la primera dosis de la vacuna al personal de sa https://t.co/tcpcauvgBf
Liligom68094042,Donde me sienta bien 😜,@bakernany3 @Oroycar77213384 @MLpassio @DrDanielSalinas #YoMeVacuno yo tambien💪🇺🇾
SaludQuilicura,José Pedro Escobar #483,"📣 INFORME DIARIO COMUNAL DE PERSONAS VACUNADAS CONTRA EL #COVID_19 📣
No olvides ser responsable con tu salud y la de tu familia, sin olvidar las medidas preventivas para evitar el contagio. 😷
#ContigoSomosMásSalud
#YoMeVacuno 
#SaludQuilicura
#MuniQuilicura https://t.co/13Avm7a7DK"
bakernany3,Uruguay,"@Liligom68094042 @Oroycar77213384 @MLpassio @DrDanielSalinas A los mayores de edad los van a vacunar con Pfizer.
A nosotros entre 55 y 59 nos toca ahora con la china. Es para optimizar el recurso. #YoMeVacuno
Mañana me agendo. ✨🤪"
MuniLaFlorida,La Florida,Mañana viernes 5 de marzo tenemos una nueva jornada de vacunación a partir de las 08:00 horas en nuestro Espacio Esperanza para las siguientes personas 👇🚨 #YoMeVacuno 💉 https://t.co/GAbD0ZNyWF
CoexistirHoy,"Córdoba, Argentina","@martincarrizo_ @Lorena70378072 Mientras nuestro personal de salud sigue muriendo por no haber recibido la vacuna, Santi recibió la segunda dosis el 28 de enero. Y ahora encima a Gines García lo van a premiar con el cargo de embajador de Colombia. https://t.co/k71vFYTHGJ"
marcosseijas72,Uruguay 🇺🇾,"Y nos jactamos de ser un pueblo educado 🤦🏻‍♂. Desearía ya haber tenido acceso a la vacuna. ""Dios le da pan al que no tiene dientes"", dicen. #YoMeVacuno https://t.co/Rgst7R4qm0"
NancyVir,Guatemala,"Actividad científica de actualización en #VacunasCOVID19 #EquidadYVacunación 
 
#YoSíMeVacuno #YoMeVacuno #VaccinesWork 

Enlace acá 👇👇 Vía zoom 
https://t.co/UDw7vnhqK9 https://t.co/esj7uD1ojM"
eabella29,EN ALGÚN LUGAR DE MONTEVIDEO.,"@MiguelFNogueira Haría una lista de disponibles.
De 18 a 59 años. 
La gente que puede estar en 
El Vacunatorio en 1 hora
 después de las 18 horas los cito.
Les digo: venís a vacunarte Hoy? 
#YoMeVacuno"
padsdoc,,#YoMeVacuno gracias @MinSaludCol @infopresidencia Clínica Palermo https://t.co/ENBQ7xKvJ1
corazonesx3,,"Información sobre vacunas , vamos todos a leerlo .
#YoMeVacuno https://t.co/7Ib9XsYXXH"
franlira_cl,,Hoy vi a mi abuela de 97 años después de un año. Como siempre de punta en blanco y con su pelo perfecto. Sus dos dosis de vacuna listas! #YoMeVacuno
camisapagm,,Ayuda. En el consultorio de #Peñalolén a mi abuelita le dieron un papel como fotocopia del carnet de vacunación. No le afecta en nada si se lo piden para ingresar a algún lugar o qué sé yo? #Vacuna #YoMeVacuno @SeremiSaludRM @ministeriosalud @penalolen https://t.co/4aJfX1aCxP
opinionescl,Chile,"Que bien por la familia de Talca le abrio la mente al Santiaguino adoctrinado al zurdaje comunista Talca paris y londres 
#GremioCuliao #ProfeFlojo #PrensaBasura #YoNoMeVacuno #FalsaPandemia #ContigoCHV #Bienvenidos13 https://t.co/kaqm22Oxz9"
PilarLopMont,"Sevilla, Andalucía","Como si me hubieran pasado 3 camiones por encima. Me duelen todas las articulaciones y la fiebre no para de subir.
Aún así pienso que va a merecer la pena.
#YoMeVacuno #VacunasCOVID19"
germinadora,"Montevideo, Uruguay","Creí que era un sueño, pero no. ¡Estoy en el grupo de personas para agendarse mañana!: cualquier persona de entre (""de entre"" está bien, no le tengan miedo) 55 y 59 años. Allá iré con mis 58 primaveras. Por aquellos a los que todavía no les toca, por mí, por todos, #yomevacuno"
eabella29,EN ALGÚN LUGAR DE MONTEVIDEO.,"@DottaKellogg @MiguelFNogueira Le diría que si la agarra el
COVID tiene más chances de 
quedarla que de salir. 
#YoMeVacuno"
ClinicaLaColina,"Bogotá, Colombia","Conoce el testimonio de nuestra Gerente General, Gloria Molina Vargas, sobre el inicio del #PlanNacionalDeVacunación en nuestra clínica. #YoMeVacuno #YoMeVacunoPorTi https://t.co/iiDJs6sTuz"
JackieBB9,"Montevideo, Uruguay",@eduregueira Muchas gracias!!! #YoMeVacuno
GeorgieARomero,Republica de Chotonia,Como de Rusia trajeron la vacuna mala ahora lo van a poner a Ginés de embajador en Colombia para traer de la buena.
holadigital_,"Valledupar, Colombia",Así está la salud del médico que tenía síntomas de covid y se vacunó: El galeno accedió a la vacuna pese a  que había presentado síntomas de la enfermedad. Sigue en UCI.  https://t.co/2K3lAyigzV https://t.co/DpS0oc8vBg
marylinvalenti5,"Montevideo, Uruguay","-Por la evolución de la #pandemia debemos vacunarnos muchas personas,para hacer una diferencia,por eso #yoMeVacuno 
-Europa bloquea 250.000 dosis de #vacuna #AstraZeneca con destino a Australia 
-Por eso no rechaces un turno ni atrases el mismo,cuando te toque #vaunateDeCovid"
Gladysmimisma,,"@eduregueira Trabajo en atención domiciliaria, mañana estoy ahí para agendar me #YoMeVacuno"
AndreaTabarez,"Montevideo, Uruguay",Lástima soy demasiado joven 😊#yomevacuno https://t.co/IVKbKXU1XY
zonafranca,"Bogotá, D.C., Colombia","Muchas cosas pasan por fuera de Colombia. El Papa por primera vez visita Irak, en Salvador se concentra el poder, la pandemia en Brasil y los que se saltaron la fila de la vacuna en Argentina. 

#Francamente 9 pm https://t.co/Ne4c3NQLxp"
AndreeUribeM,"Medellín, Colombia","Las vacunas💉 contra el COVID-19 preparan nuestro sistema inmunológico para detectar y combatir al virus, previniendo el desarrollo de síntomas graves. 

#YoMeVacuno #VacunatePues https://t.co/JF0TQPUOxB"
peopleenespanol,New York City,"La doctora Aliza @VidaySalud explica qué hay que hacer antes de recibir las vacunas, especialmente en el caso de aquellos que tienen el coronavirus. #Yomevacuno​ https://t.co/WqXLvoOXmx"
OscarR_uy,#Uruguay 🇺🇾,@RominaPesce5 Ojala que vengan mas vacunas así yo también tengo la oportunidad de darme. #YoMeVacuno
DanesisArce,"Ontario, CA",La mejor vacuna contra el uribismo @CeDemocratico es la @JEP_Colombia
Omar97408582,,"@infopresidencia @IvanDuque En Colombia hay un promedio de 50 millones de colombianos 
Cuantas dosis de vacuna necesitamos?"
carosanchez8,"Bogotá, D.C., Colombia",Seguimiento de Vacunación Colombia  #YoMeVacuno 🇨🇴 por  @solsilvanazb . Mejor sin  #Infodemia  https://t.co/nRP7ipagFx
AndreaTabarez,"Montevideo, Uruguay","Cuando llegó la vacuna pensé en largas filas, en listas de espera, pero no. Están pidiendo casi x favor que vayan a vacunarse. Las razones porqué no, no las entiendo pero mucho menos si dan un argumento político o ideológico. Esa explicación me llena de tristeza 👇 #yomevacuno https://t.co/V3NDQ9CXc7"
danilotegaldo,"Montevideo, Uruguay","Se reclamó sobre llegada de vacunas, se debatió si llegaban tarde y la mar en coche... Llegaron las primeras 192 mil dosis. Hoy apenas se vacunaron 8.784 personas y en total van 63.231 desde el sábado a la fecha.
Quién nos entiende?
#YoMeVacuno #UruguaySeVacuna https://t.co/J3QIxku9NI"
delaluna_7,"Santiago, Chile",Hueon me duele todo el cuerpo y el brazo culiao 🥲 #YoMeVacuno  llevo horas así y en la tarde me dio fiebre pero muy leve . Pero el dolor del cuerpo llega a ser molestoso 😣
quinramo,,"@UsonBerta A mi ya no me da que pensar, me confirma lo que pensaba.
#YoNoMeVacuno"
eduregueira,"Montevideo, Uruguay","BUSCAMOS JÓVENES

Entre 55 a 59 años, mujeres u hombres.
Con empatía, responsabilidad social y amor.
Imprescindible tener solidaridad, no tener dudas, ni miedos.
Con ganas de salir adelante VACUNANDOSE para ayudar a salir de una pandemia mundial.
#YoMeVacuno

Agendate acá: https://t.co/qdwsVIRuTg"
NancyVir,Guatemala,"@She_is_Madelyn 😍😍😍😍😍👏🏻👏🏻👏🏻👏🏻💉💉💉💉bravo, me encanta y sí, esperanza es la palabra que también siento. #YoMeVacuno #YoSíMeVacuno"
EveHemmel,"Concepción, Chile",Los rezagados cuando pueden vacunarse? Hay muchas personas que no pudieron vacunarse y ahora ya no se les permite #YoMeVacuno
NancyVir,Guatemala,"@nuriamariach 🥲💪🏻💪🏻💪🏻💉💉💉amiga me alegro mucho, merecido y #YosíMeVacuno #YoMeVacuno 😍😍😍"
fall_soup,Colombia,"Colombia solía tener el mejor plan de vacunación del mundo, pero el 17 de febrero le hirieron la rodilla con una vacuna

#Colombia #Skyrim https://t.co/9uY33aU1GD"
Luisjoargue,,"Pachita' Mangonez, de 110 años, se convirtió en una de las mujeres más longevas de Colombia en recibir la vacuna contra el covid-19. Esta es la historia ► https://t.co/R21kSqiWBl"
NDDiez,Planet Earth,"Si te da miedo la luz porque te acostumbraste a la oscuridad, recuerda que con cada vacuna damos un paso para salir del túnel
#YoMeVacuno #UruguaySeVacuna"
EstelaF68436226,"Maldonado, Uruguay",Hasta mañana buen descanso flia tuitera #YoMeVacuno #YoApoyoAEsteGobierno y siempre en positivo y buena vibra 💞💞💞💞 https://t.co/aDm2Z2yOYN
ConcejalJudith,"Cerro Navia, Chile","Estimad@s vecin@s, aquí les dejo el plan de vacunación COVID para la semana del 8 al 12 de marzo
YO ME CUIDO Y TE CUIDO!
#ConcejalaJudithRodriguez
#cerronavia
#ProcesoConstituyente
#EleccionesMunicipales
#covid19chile
#YoMeVacuno
#VamosPorMas
#PlanPasoAPaso https://t.co/ePDNRcYasM"
EstebanDemocra1,,@Eclides3 Jajajajajajaja jajajaja  y el próximo sábado más cuenta chistes. Estos pobres perdedores de siempre  no quieren aprender q Colombia JAMAS VA A ELEGIR UNA RATA COMO PETROCACAS DE PRESIDENTE. y el viejito tobon q busque el geriátrico q le corresponde para su vacuna. Pobres idiotas
emeinesrod,"Montevideo, Uruguay","A poner el brazo 💪🏻 
#YoMeVacuno https://t.co/7JclIxhRic"
de_menese,Colombia,"@RevistaSemana @MonicaJllo Olvidó decir q CUBA país bloqueado y sancionado por EEUU 
Hoy tiene la vacuna que salvará millones de vidas en el mundo
Y Colombia!!"
CHDN1,TUMACO,"San Andrés de Tumaco, marzo 04 de 2021 

SALUD Y VIDA 

Les invitamos a ver nuestro programa institucional Salud y Vida. 

VACUNAS #SegurasYEfectivas 
#YoMeVacuno 

Somos #InteligenciaPacíficaEnSalud 😷 

https://t.co/GZhI8mUjVZ https://t.co/7V8B81pim5"
Oswaldo12177907,,@jciragorri @petrogustavo @RoyBarreras @AABenedetti @MauroToroO @VocesRCN Que pregunta tan ridícula acaso duque diplomas falsos y su curul con matarife han cambiado a colombia acaso sus naranjas han ayudado a la vacuna ? Entonces no joda y haga preguntas buenas por que de ebrios y pendejos estamos llenos hastaviendo asu tal amado petroyclaudiasalvajes
DUVAN6513,"Santander, Colombia","@colombia_hist Jorge tadeo lozano, el vil hpta que se aprovecho de la mujer de Antonio Nariño mientras estuvo preso y fuera de eso le robo los crédito de la vacuna contra la viruela, si no estoy mal, ahora entiendo los genes de semejantes ratas..."
Censamedellin,"Medellín, Antioquia. Colombia","🙌💙Recibimos la noticia de que algunos de nuestros estudiantes de la Escuela Salud, que hacen sus prácticas en los diferentes hospitales de la ciudad, y han brindado un aporte trascendental al sector salud, ya recibieron su vacuna contra la #COVID19. ¡Qué bien!
#YoMeVacuno https://t.co/wOYVND13fY"
Sayarce,Mamertolandia,"Colombia iba a tener el mejor plan de vacunación del mundo mundial, pero sólo en la publicidad de la TV. Ya están anunciando lo que se debe hacer para la segunda dosis y ni siquiera han terminado de poner la primera a los del primer grupo.  #YoMeVacuno cuando será!"
ma_osuna7,Bogotá,"@Caromunozb Lo que vacuna Colombia en una semana, Chile lo hace en un día, pero @IvanDuque dice que tenemos el mejor plan de vacunación de todos!"
MedicinaUNAL,"Bogotá, D.C., Colombia","𝗠𝗲𝗱𝗶𝗰𝗶𝗻𝗮𝗨𝗡𝗔𝗟 Se une a la Red de Gestión del Conocimiento. 
𝗣𝗼𝗿 𝗾𝘂𝗲 𝗺𝗲 𝗰𝘂𝗶𝗱𝗼 𝘆 𝗹𝗼𝘀 𝗾𝘂𝗶𝗲𝗿𝗼, 𝗺𝗲 𝘃𝗮𝗰𝘂𝗻𝗼 𝘀𝗶𝗻 𝗺𝗶𝗲𝗱𝗼. 
#𝗬𝗼𝗠𝗲𝗩𝗮𝗰𝘂𝗻𝗼 👇 https://t.co/sKSDEkt14x"
CICCampoContre1,,"En el día de hoy, continuamos con la campaña de vacunación contra el covid-19 a los adultos mayores de 70 años en las instalaciones del Club Veteranos. 
#yomevacuno 
#saludsiguedepie 

Ingeniera Norma Fuentes Intendente Santiago Ciudad https://t.co/hmDgoTQ3xW"
borinquen50,,"Cuba inicia última fase de prueba de 'Soberana 02', candidata vacunal contra covid-19 más avanzada de Latinoamérica https://t.co/n1WXCwyPGA

Colombia Alcanza a vacunar toda su población con vacuna cubana antes de Q lleguen famosas 10 mills de dosis de Pfizer

@merv59
@EmbacubaCol"
Sejuela603,,"@pmjansen @fachistoteles #YoNoMeVacuno 
No porque el mundo va directo al matadero los voy a acompañar.
Yo elijo mi libertad."
linamia123,,"@famili1286 @ismene2 @Matador000 Pues esos amigos cubanos seguro viven en COLOMBIA que ni vacuna hay.
Desde Alemania le escribo. Aqui la noticia en Aleman. La pasaron por los noticieros hace como 5 dias. El comunismo esta mas avanzado que el dizque capitalismo🤣🤣🤣
Traducir please!🙋🏻‍♀️
https://t.co/Ah34dq7Dgo"
Lahnadelmedio17,,"@MiguelFNogueira Necesitaria vacunarme ahora, ya que para turismo mi vieja cumpliria años(82), y la quiero ver!!La verdad, me vendria barbaro! #YoMeVacuno"
caterinamusse,"Montevideo, Uruguay","Porque tenemos q saber tanto de la vacuna de COVID 19 ? Cuando te das la vacuna de la gripe ( yo me la doy ) preguntas q componentes o q laboratorio es ? Cuánto tiempo desarrollan la vacuna ? Ni me importa me sirve y punto , con la del COVID tb #YoMeVacuno"
FhagcTron,The Grid,Vacunación #Covid_19 #Chile 🇨🇱 #YoMeVacuno 💉 https://t.co/ZuqcgbPnhL
anateresabernal,,"🙈Alcanzamos el 0,4% de la población colombiana vacunada ¡¡Qué buena noticia!!

Alcaldesa @ClaudiaLopez solicite ahora mismo autorización al Pdte @IvanDuque para comprar vacunas de manera directa con las farmacéuticas. 
No hay tiempo.
https://t.co/Me0DU06K9Y"
CaracolRadioTun,"Tunja, Boyacá","#Hoy son 6.060 personas que han recibido la vacuna contra el coronavirus en #Boyacá .

En #Colombia, a la fecha, han sido 206.475 ciudadanos inmunizados. https://t.co/GvEsq4kz5K"
MuniNunoa,"Ñuñoa, Chile","Hoy 3.914 personas se vacunaron 💉 en nuestros centros -casi 2.000 con segundas dosis- llegando a 53.526 las personas inoculadas en #Ñuñoa

Estamos muy contentos por cómo se ha desarrollado el proceso 👏🏼 ¡Nos vemos mañana!

#YoMeVacuno✌🏾
#ÑuñoaTeCuida💚 https://t.co/UPvQRaMW3s"
PaulaaAyala10,"New York, NY",Hoy me vacunaron contra el COVID. No dejo de pensar y desear con el alma que todos en Colombia puedan tener rápido y fácil acceso a la vacuna 🥺
aIxnsx,"Santiago, Chile",si yo vivo en la florida debo vacunarme en los centros habilitados de la florida o puedo ir en cualquier comuna? 🤔 #YoMeVacuno
alejandrajc10,"Bogotá, Colombia","Yo sí estoy de acuerdo con el señor de la oficina de comunicaciones, los hechos superan la demagogia. Los hechos: Colombia aplica menos de 20 mil vacunas al día, en un país vecino hay una nueva variante del virus matando gente a ritmo record y sin vacuna no estamos protegidos."
Comfama,"Medellín, Colombia","Eso quiere decir que vacunarse es una decisión de autocuidado y amor.  #YoMeVacuno
¿Quieres saber cómo actúan las vacunas en tu cuerpo? Te lo contamos en https://t.co/P6yeo1hamo https://t.co/WeqcV2KtLH"
InstitucionalTV,Colombia,"#PrevenciónYAcción ""Hoy en Colombia se aplicaron 206.475 dosis de la vacuna contra el covid-19"": presidente, @IvanDuque. https://t.co/hy1EmKyCOX"
Rubychagui,,206.475 dosis han recibido los colombianos al día de hoy desde el inicio del Plan de Vacunación contra el Covid-19. El Gobierno del presidente @IvanDuque le está cumpliendo a los ciudadanos. #YoMeVacuno https://t.co/plNLM92mjP
rcnmundo,"Bogotá, Colombia",Colombia supera las 200.000 dosis aplicadas de la vacuna contra la covid-19 https://t.co/zBvGsdgw9v https://t.co/Wpe0WULtxQ
CorpColinaSalud,Colina,"#YoMeVacuno Atención vecinos!
💉Hacemos balance diario de vacunaciones contra covid19 en Colina.
➡El 4 marzo se vacunaron 905 personas con 1ra dosis, un total de 18.254 así.
☝️Mientras que, 1.207 en 2da dosis.
📌Del 3 febrero hay 19.461 vacunaciones
@mario_olavarria
@MuniColina https://t.co/J5mr8cYGx4"
